PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch
235,0,2,male,0,0,0
236,0,3,female,0,0,0
237,0,2,male,0,1,0
238,1,2,female,1,0,2
239,0,2,male,0,0,0
240,0,2,male,0,0,0
241,0,3,female,0,1,0
242,1,3,female,0,1,0
243,0,2,male,0,0,0
244,0,3,male,0,0,0
245,0,3,male,0,0,0
246,0,1,male,0,2,0
247,0,3,female,0,0,0
248,1,2,female,0,0,2
249,1,1,male,0,1,1
250,0,2,male,0,1,0
251,0,3,male,0,0,0
252,0,3,female,0,1,1
253,0,1,male,0,0,0
254,0,3,male,0,1,0
255,0,3,female,0,0,2
256,1,3,female,0,0,2
257,1,1,female,0,0,0
258,1,1,female,0,0,0
259,1,1,female,0,0,0
260,1,2,female,0,0,1
261,0,3,male,0,0,0
262,1,3,male,1,4,2
263,0,1,male,0,1,1
264,0,1,male,0,0,0
265,0,3,female,0,0,0
266,0,2,male,0,0,0
267,0,3,male,1,4,1
268,1,3,male,0,1,0
269,1,1,female,0,0,1
270,1,1,female,0,0,0
271,0,1,male,0,0,0
272,1,3,male,0,0,0
273,1,2,female,0,0,1
274,0,1,male,0,0,1
275,1,3,female,0,0,0
276,1,1,female,0,1,0
277,0,3,female,0,0,0
278,0,2,male,0,0,0
279,0,3,male,1,4,1
280,1,3,female,0,1,1
281,0,3,male,0,0,0
282,0,3,male,0,0,0
283,0,3,male,1,0,0
284,1,3,male,0,0,0
285,0,1,male,0,0,0
286,0,3,male,0,0,0
287,1,3,male,0,0,0
288,0,3,male,0,0,0
289,1,2,male,0,0,0
290,1,3,female,0,0,0
291,1,1,female,0,0,0
292,1,1,female,0,1,0
293,0,2,male,0,0,0
294,0,3,female,0,0,0
295,0,3,male,0,0,0
296,0,1,male,0,0,0
297,0,3,male,0,0,0
298,0,1,female,1,1,2
299,1,1,male,0,0,0
300,1,1,female,0,0,1
301,1,3,female,0,0,0
302,1,3,male,0,2,0
303,0,3,male,0,0,0
304,1,2,female,0,0,0
305,0,3,male,0,0,0
306,1,1,male,1,1,2
307,1,1,female,0,0,0
308,1,1,female,1,1,0
309,0,2,male,0,1,0
310,1,1,female,0,0,0
311,1,1,female,0,0,0
312,1,1,female,1,2,2
313,0,2,female,0,1,1
314,0,3,male,0,0,0
315,0,2,male,0,1,1
316,1,3,female,0,0,0
317,1,2,female,0,1,0
318,0,2,male,0,0,0
319,1,1,female,0,0,2
320,1,1,female,0,1,1
321,0,3,male,0,0,0
322,0,3,male,0,0,0
323,1,2,female,0,0,0
324,1,2,female,0,1,1
325,0,3,male,0,8,2
326,1,1,female,0,0,0
327,0,3,male,0,0,0
328,1,2,female,0,0,0
329,1,3,female,0,1,1
330,1,1,female,1,0,1
331,1,3,female,0,2,0
332,0,1,male,0,0,0
333,0,1,male,0,0,1
334,0,3,male,1,2,0
335,1,1,female,0,1,0
336,0,3,male,0,0,0
337,0,1,male,0,1,0
338,1,1,female,0,0,0
339,1,3,male,0,0,0
340,0,1,male,0,0,0
341,1,2,male,1,1,1
342,1,1,female,0,3,2
343,0,2,male,0,0,0
344,0,2,male,0,0,0
345,0,2,male,0,0,0
346,1,2,female,0,0,0
347,1,2,female,0,0,0
348,1,3,female,0,1,0
349,1,3,male,1,1,1
350,0,3,male,0,0,0
351,0,3,male,0,0,0
352,0,1,male,0,0,0
353,0,3,male,1,1,1
354,0,3,male,0,1,0
355,0,3,male,0,0,0
356,0,3,male,0,0,0
357,1,1,female,0,0,1
358,0,2,female,0,0,0
359,1,3,female,0,0,0
360,1,3,female,0,0,0
361,0,3,male,0,1,4
362,0,2,male,0,1,0
363,0,3,female,0,0,1
364,0,3,male,0,0,0
365,0,3,male,0,1,0
366,0,3,male,0,0,0
367,1,1,female,0,1,0
368,1,3,female,0,0,0
369,1,3,female,0,0,0
370,1,1,female,0,0,0
371,1,1,male,0,1,0
372,0,3,male,1,1,0
373,0,3,male,0,0,0
374,0,1,male,0,0,0
375,0,3,female,1,3,1
376,1,1,female,0,1,0
377,1,3,female,0,0,0
378,0,1,male,0,0,2
379,0,3,male,0,0,0
380,0,3,male,0,0,0
381,1,1,female,0,0,0
382,1,3,female,1,0,2
383,0,3,male,0,0,0
384,1,1,female,0,1,0
385,0,3,male,0,0,0
386,0,2,male,1,0,0
387,0,3,male,1,5,2
388,1,2,female,0,0,0
389,0,3,male,0,0,0
390,1,2,female,1,0,0
391,1,1,male,0,1,2
392,1,3,male,0,0,0
393,0,3,male,0,2,0
394,1,1,female,0,1,0
395,1,3,female,0,0,2
396,0,3,male,0,0,0
397,0,3,female,0,0,0
398,0,2,male,0,0,0
399,0,2,male,0,0,0
400,1,2,female,0,0,0
401,1,3,male,0,0,0
402,0,3,male,0,0,0
403,0,3,female,0,1,0
404,0,3,male,0,1,0
405,0,3,female,0,0,0
406,0,2,male,0,1,0
407,0,3,male,0,0,0
408,1,2,male,1,1,1
409,0,3,male,0,0,0
410,0,3,female,0,3,1
411,0,3,male,0,0,0
412,0,3,male,0,0,0
413,1,1,female,0,1,0
414,0,2,male,0,0,0
415,1,3,male,0,0,0
416,0,3,female,0,0,0
417,1,2,female,0,1,1
418,1,2,female,1,0,2
419,0,2,male,0,0,0
420,0,3,female,1,0,2
421,0,3,male,0,0,0
422,0,3,male,0,0,0
423,0,3,male,0,0,0
424,0,3,female,0,1,1
425,0,3,male,1,1,1
426,0,3,male,0,0,0
427,1,2,female,0,1,0
428,1,2,female,0,0,0
429,0,3,male,0,0,0
430,1,3,male,0,0,0
431,1,1,male,0,0,0
432,1,3,female,0,1,0
433,1,2,female,0,1,0
434,0,3,male,1,0,0
435,0,1,male,0,1,0
436,1,1,female,1,1,2
437,0,3,female,0,2,2
438,1,2,female,0,2,3
439,0,1,male,0,1,4
440,0,2,male,0,0,0
441,1,2,female,0,1,1
442,0,3,male,0,0,0
443,0,3,male,0,1,0
444,1,2,female,0,0,0
445,1,3,male,0,0,0
446,1,1,male,1,0,2
447,1,2,female,1,0,1
448,1,1,male,0,0,0
449,1,3,female,1,2,1
450,1,1,male,0,0,0
451,0,2,male,0,1,2
452,0,3,male,0,1,0
453,0,1,male,0,0,0
454,1,1,male,0,1,0
455,0,3,male,0,0,0
456,1,3,male,0,0,0
457,0,1,male,0,0,0
458,1,1,female,0,1,0
459,1,2,female,0,0,0
460,0,3,male,0,0,0
461,1,1,male,0,0,0
462,0,3,male,0,0,0
463,0,1,male,0,0,0
464,0,2,male,0,0,0
465,0,3,male,0,0,0
466,0,3,male,0,0,0
467,0,2,male,0,0,0
468,0,1,male,0,0,0
469,0,3,male,0,0,0
470,1,3,female,1,2,1
471,0,3,male,0,0,0
472,0,3,male,0,0,0
473,1,2,female,0,1,2
474,1,2,female,0,0,0
475,0,3,female,0,0,0
476,0,1,male,0,0,0
477,0,2,male,0,1,0
478,0,3,male,0,1,0
479,0,3,male,0,0,0
480,1,3,female,1,0,1
481,0,3,male,1,5,2
482,0,2,male,0,0,0
483,0,3,male,0,0,0
484,1,3,female,0,0,0
485,1,1,male,0,1,0
486,0,3,female,0,3,1
487,1,1,female,0,1,0
488,0,1,male,0,0,0
489,0,3,male,0,0,0
490,1,3,male,1,1,1
491,0,3,male,0,1,0
492,0,3,male,0,0,0
493,0,1,male,0,0,0
494,0,1,male,0,0,0
495,0,3,male,0,0,0
496,0,3,male,0,0,0
497,1,1,female,0,1,0
498,0,3,male,0,0,0
499,0,1,female,0,1,2
500,0,3,male,0,0,0
501,0,3,male,1,0,0
502,0,3,female,0,0,0
503,0,3,female,0,0,0
504,0,3,female,0,0,0
505,1,1,female,1,0,0
506,0,1,male,1,1,0
507,1,2,female,0,0,2
508,1,1,male,0,0,0
509,0,3,male,0,0,0
510,1,3,male,0,0,0
511,1,3,male,0,0,0
512,0,3,male,0,0,0
513,1,1,male,0,0,0
514,1,1,female,0,1,0
515,0,3,male,0,0,0
516,0,1,male,0,0,0
517,1,2,female,0,0,0
518,0,3,male,0,0,0
519,1,2,female,0,1,0
520,0,3,male,0,0,0
521,1,1,female,0,0,0
522,0,3,male,0,0,0
523,0,3,male,0,0,0
524,1,1,female,0,0,1
525,0,3,male,0,0,0
526,0,3,male,0,0,0
527,1,2,female,0,0,0
528,0,1,male,0,0,0
529,0,3,male,0,0,0
530,0,2,male,0,2,1
531,1,2,female,1,1,1
532,0,3,male,0,0,0
533,0,3,male,1,1,1
534,1,3,female,0,0,2
535,0,3,female,0,0,0
536,1,2,female,1,0,2
537,0,1,male,0,0,0
538,1,1,female,0,0,0
539,0,3,male,0,0,0
540,1,1,female,0,0,2
541,1,1,female,0,0,2
542,0,3,female,1,4,2
543,0,3,female,1,4,2
544,1,2,male,0,1,0
545,0,1,male,0,1,0
546,0,1,male,0,0,0
547,1,2,female,0,1,0
548,1,2,male,0,0,0
549,0,3,male,0,1,1
550,1,2,male,1,1,1
551,1,1,male,1,0,2
552,0,2,male,0,0,0
553,0,3,male,0,0,0
554,1,3,male,0,0,0
555,1,3,female,0,0,0
556,0,1,male,0,0,0
557,1,1,female,0,1,0
558,0,1,male,0,0,0
559,1,1,female,0,1,1
560,1,3,female,0,1,0
561,0,3,male,0,0,0
562,0,3,male,0,0,0
563,0,2,male,0,0,0
564,0,3,male,0,0,0
565,0,3,female,0,0,0
566,0,3,male,0,2,0
567,0,3,male,0,0,0
568,0,3,female,0,0,4
569,0,3,male,0,0,0
570,1,3,male,0,0,0
571,1,2,male,0,0,0
572,1,1,female,0,2,0
573,1,1,male,0,0,0
574,1,3,female,0,0,0
575,0,3,male,1,0,0
576,0,3,male,0,0,0
577,1,2,female,0,0,0
578,1,1,female,0,1,0
579,0,3,female,0,1,0
580,1,3,male,0,0,0
581,1,2,female,0,1,1
582,1,1,female,0,1,1
583,0,2,male,0,0,0
584,0,1,male,0,0,0
585,0,3,male,0,0,0
586,1,1,female,1,0,2
587,0,2,male,0,0,0
588,1,1,male,0,1,1
589,0,3,male,0,0,0
590,0,3,male,0,0,0
591,0,3,male,0,0,0
592,1,1,female,0,1,0
593,0,3,male,0,0,0
594,0,3,female,0,0,2
595,0,2,male,0,1,0
596,0,3,male,0,1,1
597,1,2,female,0,0,0
598,0,3,male,0,0,0
599,0,3,male,0,0,0
600,1,1,male,0,1,0
601,1,2,female,0,2,1
602,0,3,male,0,0,0
603,0,1,male,0,0,0
604,0,3,male,0,0,0
605,1,1,male,0,0,0
606,0,3,male,0,1,0
607,0,3,male,0,0,0
608,1,1,male,0,0,0
609,1,2,female,0,1,2
610,1,1,female,0,0,0
611,0,3,female,0,1,5
612,0,3,male,0,0,0
613,1,3,female,0,1,0
614,0,3,male,0,0,0
615,0,3,male,0,0,0
616,1,2,female,0,1,2
617,0,3,male,0,1,1
618,0,3,female,0,1,0
619,1,2,female,1,2,1
620,0,2,male,0,0,0
621,0,3,male,0,1,0
622,1,1,male,0,1,0
623,1,3,male,0,1,1
624,0,3,male,0,0,0
625,0,3,male,0,0,0
626,0,1,male,0,0,0
627,0,2,male,0,0,0
628,1,1,female,0,0,0
629,0,3,male,0,0,0
630,0,3,male,0,0,0
631,1,1,male,0,0,0
632,0,3,male,0,0,0
633,1,1,male,0,0,0
634,0,1,male,0,0,0
635,0,3,female,1,3,2
636,1,2,female,0,0,0
637,0,3,male,0,0,0
638,0,2,male,0,1,1
639,0,3,female,0,0,5
640,0,3,male,0,1,0
641,0,3,male,0,0,0
642,1,1,female,0,0,0
643,0,3,female,1,3,2
644,1,3,male,0,0,0
645,1,3,female,1,2,1
646,1,1,male,0,1,0
647,0,3,male,0,0,0
648,1,1,male,0,0,0
649,0,3,male,0,0,0
650,1,3,female,0,0,0
651,0,3,male,0,0,0
652,1,2,female,1,0,1
653,0,3,male,0,0,0
654,1,3,female,0,0,0
655,0,3,female,1,0,0
656,0,2,male,0,2,0
657,0,3,male,0,0,0
658,0,3,female,0,1,1
659,0,2,male,0,0,0
660,0,1,male,0,0,2
661,1,1,male,0,2,0
662,0,3,male,0,0,0
663,0,1,male,0,0,0
664,0,3,male,0,0,0
665,1,3,male,0,1,0
666,0,2,male,0,2,0
667,0,2,male,0,0,0
668,0,3,male,0,0,0
669,0,3,male,0,0,0
670,1,1,female,0,1,0
671,1,2,female,0,1,1
672,0,1,male,0,1,0
673,0,2,male,0,0,0
674,1,2,male,0,0,0
675,0,2,male,0,0,0
676,0,3,male,1,0,0
677,0,3,male,0,0,0
678,1,3,female,1,0,0
679,0,3,female,0,1,6
680,1,1,male,0,0,1
681,0,3,female,0,0,0
682,1,1,male,0,0,0
683,0,3,male,0,0,0
684,0,3,male,1,5,2
685,0,2,male,0,1,1
686,0,2,male,0,1,2
687,0,3,male,1,4,1
688,0,3,male,0,0,0
689,0,3,male,1,0,0
690,1,1,female,1,0,1
691,1,1,male,0,1,0
692,1,3,female,1,0,1
693,1,3,male,0,0,0
694,0,3,male,0,0,0
695,0,1,male,0,0,0
696,0,2,male,0,0,0
697,0,3,male,0,0,0
698,1,3,female,0,0,0
699,0,1,male,0,1,1
700,0,3,male,0,0,0
701,1,1,female,1,1,0
702,1,1,male,0,0,0
703,0,3,female,1,0,1
704,0,3,male,0,0,0
705,0,3,male,0,1,0
706,0,2,male,0,0,0
707,1,2,female,0,0,0
708,1,1,male,0,0,0
709,1,1,female,0,0,0
710,1,3,male,0,1,1
711,1,1,female,0,0,0
712,0,1,male,0,0,0
713,1,1,male,0,1,0
714,0,3,male,0,0,0
715,0,2,male,0,0,0
716,0,3,male,0,0,0
717,1,1,female,0,0,0
718,1,2,female,0,0,0
719,0,3,male,0,0,0
720,0,3,male,0,0,0
721,1,2,female,1,0,1
722,0,3,male,1,1,0
723,0,2,male,0,0,0
724,0,2,male,0,0,0
725,1,1,male,0,1,0
726,0,3,male,0,0,0
727,1,2,female,0,3,0
728,1,3,female,0,0,0
729,0,2,male,0,1,0
730,0,3,female,0,1,0
731,1,1,female,0,0,0
732,0,3,male,1,0,0
733,0,2,male,0,0,0
734,0,2,male,0,0,0
735,0,2,male,0,0,0
736,0,3,male,0,0,0
737,0,3,female,0,1,3
738,1,1,male,0,0,0
739,0,3,male,0,0,0
740,0,3,male,0,0,0
741,1,1,male,0,0,0
742,0,1,male,0,1,0
743,1,1,female,0,2,2
744,0,3,male,0,1,0
745,1,3,male,0,0,0
746,0,1,male,0,1,1
747,0,3,male,1,1,1
748,1,2,female,0,0,0
749,0,1,male,0,1,0
750,0,3,male,0,0,0
751,1,2,female,1,1,1
752,1,3,male,1,0,1
753,0,3,male,0,0,0
754,0,3,male,0,0,0
755,1,2,female,0,1,2
756,1,2,male,1,1,1
757,0,3,male,0,0,0
758,0,2,male,1,0,0
759,0,3,male,0,0,0
760,1,1,female,0,0,0
761,0,3,male,0,0,0
762,0,3,male,0,0,0
763,1,3,male,0,0,0
764,1,1,female,0,1,2
765,0,3,male,1,0,0
766,1,1,female,0,1,0
767,0,1,male,0,0,0
768,0,3,female,0,0,0
769,0,3,male,0,1,0
770,0,3,male,0,0,0
771,0,3,male,0,0,0
772,0,3,male,0,0,0
773,0,2,female,0,0,0
774,0,3,male,0,0,0
775,1,2,female,0,1,3
776,0,3,male,1,0,0
777,0,3,male,0,0,0
778,1,3,female,1,0,0
779,0,3,male,0,0,0
780,1,1,female,0,0,1
781,1,3,female,1,0,0
782,1,1,female,1,1,0
783,0,1,male,0,0,0
784,0,3,male,0,1,2
785,0,3,male,0,0,0
786,0,3,male,0,0,0
787,1,3,female,1,0,0
788,0,3,male,1,4,1
789,1,3,male,1,1,2
790,0,1,male,0,0,0
791,0,3,male,0,0,0
792,0,2,male,1,0,0
793,0,3,female,0,8,2
794,0,1,male,0,0,0
795,0,3,male,0,0,0
796,0,2,male,0,0,0
797,1,1,female,0,0,0
798,1,3,female,0,0,0
799,0,3,male,0,0,0
800,0,3,female,0,1,1
801,0,2,male,0,0,0
802,1,2,female,0,1,1
803,1,1,male,1,1,2
804,1,3,male,1,0,1
805,1,3,male,0,0,0
806,0,3,male,0,0,0
807,0,1,male,0,0,0
808,0,3,female,1,0,0
809,0,2,male,0,0,0
810,1,1,female,0,1,0
811,0,3,male,0,0,0
812,0,3,male,0,0,0
813,0,2,male,0,0,0
814,0,3,female,1,4,2
815,0,3,male,0,0,0
816,0,1,male,0,0,0
817,0,3,female,0,0,0
818,0,2,male,0,1,1
819,0,3,male,0,0,0
820,0,3,male,1,3,2
821,1,1,female,0,1,1
822,1,3,male,0,0,0
823,0,1,male,0,0,0
824,1,3,female,0,0,1
825,0,3,male,1,4,1
826,0,3,male,0,0,0
827,0,3,male,0,0,0
828,1,2,male,1,0,2
829,1,3,male,0,0,0
830,1,1,female,0,0,0
831,1,3,female,1,1,0
832,1,2,male,1,1,1
833,0,3,male,0,0,0
834,0,3,male,0,0,0
835,0,3,male,1,0,0
836,1,1,female,0,1,1
837,0,3,male,0,0,0
838,0,3,male,0,0,0
839,1,3,male,0,0,0
840,1,1,male,0,0,0
841,0,3,male,0,0,0
842,0,2,male,1,0,0
843,1,1,female,0,0,0
844,0,3,male,0,0,0
845,0,3,male,1,0,0
846,0,3,male,0,0,0
847,0,3,male,0,8,2
848,0,3,male,0,0,0
849,0,2,male,0,0,1
850,1,1,female,0,1,0
851,0,3,male,1,4,2
852,0,3,male,0,0,0
853,0,3,female,1,1,1
854,1,1,female,1,0,1
855,0,2,female,0,1,0
856,1,3,female,1,0,1
857,1,1,female,0,1,1
858,1,1,male,0,0,0
859,1,3,female,0,0,3
860,0,3,male,0,0,0
861,0,3,male,0,2,0
862,0,2,male,0,1,0
863,1,1,female,0,0,0
864,0,3,female,0,8,2
865,0,2,male,0,0,0
866,1,2,female,0,0,0
867,1,2,female,0,1,0
868,0,1,male,0,0,0
869,0,3,male,0,0,0
870,1,3,male,1,1,1
871,0,3,male,0,0,0
872,1,1,female,0,1,1
873,0,1,male,0,0,0
874,0,3,male,0,0,0
875,1,2,female,0,1,0
876,1,3,female,1,0,0
877,0,3,male,0,0,0
878,0,3,male,0,0,0
879,0,3,male,0,0,0
880,1,1,female,0,0,1
881,1,2,female,0,0,1
882,0,3,male,0,0,0
883,0,3,female,0,0,0
884,0,2,male,0,0,0
885,0,3,male,0,0,0
886,0,3,female,0,0,5
887,0,2,male,0,0,0
888,1,1,female,0,0,0
889,0,3,female,0,1,2
890,1,1,male,0,0,0
891,0,3,male,0,0,0
